TITLE     = ""
VARIABLES = "V1"
"V2"
"T/T<sub>Jet Centerline"
ZONE T="ZONE 002"
 STRANDID=0, SOLUTIONTIME=0
 I=73, J=23, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE SINGLE )
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000
 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.724544048E+000 1.934854031E+000
